Client,Best_Offer,Expected_Revenue
1419,CC,2.1443834
665,CL,3.2909095
524,CL,2.9265711
439,MF,0.94190747
991,MF,1.0521467
355,CC,1.3343276
1354,CC,1.7956927
635,CL,1.67066
652,CL,0.72879976
1370,CL,1.1719542
459,CL,2.080696
1446,CC,1.3152816
1222,CC,1.9314098
485,CL,6.4316278
1124,CL,1.3896396
830,CL,1.6181386
717,CL,2.2592914
854,CL,1.2080585
1589,CL,1.6042271
313,CC,1.5647957
986,CL,2.7206817
1320,CL,0.73791015
200,CL,4.0001364
565,CL,1.6781691
1257,CL,2.464916
1541,CC,1.2310375
1297,CL,1.7279333
1105,CC,1.0774828
1080,CC,1.806503
794,CL,1.7912737
1133,CC,2.215182
1448,CL,1.7339048
89,CL,2.564923
1244,CC,1.6957936
91,CL,2.0356698
1096,CL,3.2023258
161,CL,1.5276431
1183,CL,2.438242
974,MF,0.71126467
1543,CL,2.8054037
1530,CL,5.397552
267,CL,1.3923442
400,CL,1.1996065
1460,CC,2.086435
625,CC,1.0268271
677,CL,3.3776388
590,CC,0.91685057
24,MF,0.74618447
368,CL,1.8977422
305,CC,1.3581148
706,CL,4.1886363
1174,MF,0.92694986
144,CL,0.9754968
176,MF,0.76085806
1422,CC,1.4465766
1395,CL,0.7883348
660,CC,0.9652767
1243,CL,2.3567367
1356,CL,2.4512508
733,CL,3.5623527
1603,CL,1.4106394
1511,CC,2.283703
861,CL,0.8700128
710,CL,5.9238105
1173,CL,1.3309737
1054,CL,1.293868
897,CL,1.2677906
923,CL,2.8735766
11,CL,1.0351444
878,CL,8.712045
227,MF,1.2419304
331,CL,3.3803031
541,CL,2.5410185
1249,CC,1.1201493
1150,CC,1.8369737
748,CC,1.6045014
1281,CC,1.2177651
211,CC,1.2432222
1300,CL,1.5177879
910,MF,1.2202609
522,CC,1.5304021
352,CL,5.7489977
945,CL,2.0263739
948,CL,6.1499133
392,MF,1.0447763
796,CL,2.700082
579,MF,1.389825
1526,CC,2.7287395
1562,CL,1.501186
1295,CL,3.0894644
916,CC,2.0750175
919,CC,1.5349147
276,CL,1.1303995
1485,CC,1.131979
180,CL,2.1034875
64,MF,1.3448477
780,CL,2.9092221
1064,CL,1.3242027
1540,CC,1.3059243
119,CL,2.5956109
1050,CL,2.1660337
30,CC,1.9738643
772,CC,1.7786598
484,MF,0.7692071
1280,CC,2.1261156
1407,CL,0.8372923
1385,CL,2.7369566
487,CC,1.1651679
301,CC,1.2436129
577,CL,0.7044927
1610,MF,1.8750017
1366,CL,1.454692
531,CL,2.3021355
258,CL,1.6118988
389,CL,6.9029846
228,CC,0.9443993
1187,MF,1.2719299
506,CL,3.0199654
1594,CL,3.2454538
1360,CL,2.7583127
1304,CC,1.0225371
1525,CC,1.5979768
318,CL,0.9517417
1433,CC,1.0725309
595,CL,1.8147218
1365,CC,3.7416008
394,CL,2.7582533
454,CL,2.2095137
1544,CL,1.5376315
336,CC,2.2110374
756,CL,3.3422985
196,MF,1.1474686
1377,CL,1.3379718
239,CL,3.7218835
545,CC,1.6532551
257,MF,0.8560847
367,CC,1.072029
1359,CC,1.7469022
1077,CL,2.2944715
1498,CC,0.91041297
1194,CL,1.7024918
505,CC,2.7638438
862,CL,1.4717399
74,CC,1.0200025
152,CC,1.7018411
1251,CC,1.7147294
1234,MF,1.1233314
925,CL,1.962347
39,MF,1.2073971
783,CL,1.2107252
1314,CL,1.7578146
170,CL,1.6219662
62,CL,0.80483496
566,CL,4.7649426
853,CL,1.2344581
155,CL,1.9751166
1097,CL,1.9709768
951,CL,2.278625
1241,CL,4.785685
766,MF,2.5990012
829,CL,0.90552396
235,CL,3.3165586
876,CL,1.1702343
1510,CC,2.108707
1126,CL,1.0751666
1597,CL,2.7005908
197,CC,3.5874498
769,CC,1.2359173
1090,CC,0.91916865
504,CL,4.5584784
1132,CL,1.9263403
868,CL,2.255385
1609,CC,1.0695089
587,CC,2.838618
1566,CL,0.6698146
1263,CL,1.5209504
216,MF,1.3257406
1416,MF,0.9622622
1493,CL,4.336713
283,CL,0.9397925
1039,CC,1.6974113
1123,CL,3.7923605
1107,CL,2.4674356
396,CL,1.1011295
750,CL,3.1187131
99,MF,1.1660768
1398,CC,1.2006043
1321,CL,3.24487
1242,CL,2.329712
828,CL,5.697812
1047,CC,1.3905684
1551,CL,3.7777553
807,MF,0.859567
1010,CC,1.1152911
999,CL,1.1520232
201,CC,0.726098
674,CL,2.611296
1262,CC,2.450807
1200,CL,1.2489293
1240,CL,3.2572446
1148,CC,1.0316559
246,CL,1.7560623
841,MF,0.9088937
263,CC,1.1975136
379,CL,1.4922401
111,CL,1.1850945
289,CC,1.548304
1021,CL,1.5593107
958,CC,0.86709553
669,CL,1.174636
778,CL,1.256412
555,CC,1.1009294
511,CL,1.899357
214,CC,1.8746299
592,CC,2.7210498
153,CC,2.7597384
616,MF,0.7875399
229,CL,1.5893059
781,CL,1.1324222
169,CL,0.7624421
870,CC,1.371384
752,MF,0.8687838
912,CL,1.5520813
432,CL,1.4647233
1310,CL,1.2272621
224,CL,2.6714447
1153,MF,0.86556935
835,MF,1.1937311
1122,CL,1.6285359
359,CC,1.5429257
967,CL,3.4432957
788,CC,1.0811778
138,CL,0.743901
309,CC,1.0742239
626,CL,0.77933854
166,CL,1.5303471
55,CL,1.2538242
538,CC,1.4858364
1185,CL,1.8977473
1002,CC,1.3138405
373,CL,3.0334299
516,CC,3.1083682
426,CL,0.9471912
237,CL,1.154639
839,CC,0.7749082
1587,CC,1.4802349
521,CL,2.4798946
803,CL,2.9011273
411,CC,1.5586799
1271,CL,0.9052715
364,CL,0.93282086
261,CL,2.9220662
28,CL,1.7333493
467,CL,1.7468605
1093,CL,2.4000075
667,CC,1.007871
312,CC,1.1094568
226,CC,1.1530999
749,CL,2.760549
1260,CC,1.533777
347,CC,0.78756875
1341,CL,3.2959752
1474,CL,3.4990518
768,MF,0.6476967
265,CL,3.9762337
1008,MF,2.0036247
41,CL,3.9030426
523,CC,0.9862249
902,CC,1.1817119
620,CC,1.2332706
1204,CL,1.265819
978,CC,2.7233312
1324,CL,2.6241374
1226,CL,2.4739208
353,MF,1.2849742
141,CL,1.8091909
350,CL,7.3324127
708,MF,1.1245997
98,CC,1.3594172
270,CL,1.1920853
1129,CC,1.4996444
1229,MF,1.081594
681,CL,1.2286301
607,CL,3.3778296
1586,CL,3.730061
188,MF,1.1746563
1614,CL,1.3982501
940,CL,2.9502006
779,CL,2.8652282
115,CL,1.2321641
354,CC,1.7703544
165,CC,1.0275787
866,CC,2.8614516
1455,CL,2.9873867
1136,CC,1.4356464
1192,CL,5.7232366
410,CL,1.7088603
1559,CL,2.3114536
490,CL,4.3670406
1138,CC,1.3829223
543,CL,2.630368
738,CL,1.6844174
458,CL,1.4815426
1518,CC,1.2813307
799,CC,1.6600407
140,CC,1.9473703
1009,CL,1.217384
311,CL,3.4417415
813,CC,3.1333132
338,CL,2.9266164
1237,CL,3.56218
1588,CC,2.2969933
1101,CL,1.9317678
975,CL,2.5252025
983,MF,0.8779828
104,CC,2.3393495
101,CL,1.0934839
1147,CL,3.08529
954,CC,1.2677779
724,CL,1.1803231
1508,MF,0.9888825
430,MF,1.1296433
640,CC,1.373069
664,CL,1.4440035
1162,CL,2.0058868
676,CL,1.5628947
1373,CL,2.4212155
1521,CL,1.3420316
811,CL,2.1998537
146,CL,1.439831
1478,CL,2.041383
1389,CC,1.9814471
1092,CL,1.2997994
151,CL,4.9483094
583,CL,1.4705279
727,CC,3.3493834
1497,CL,3.1201031
231,CL,5.0150332
16,CC,1.8879707
562,CL,5.1939864
1228,CL,1.8492395
233,CL,1.4508768
329,CL,3.8072162
1013,CL,2.2211244
965,CC,0.8860123
1457,CC,1.9369901
1146,CL,2.3651495
513,CC,1.2203007
207,CL,0.74964875
326,CL,2.3354764
1102,CL,1.4810703
760,CC,1.7174878
345,CC,1.9467777
496,CL,3.0046551
1270,CC,1.0570229
145,CC,2.4750764
1426,CC,1.0789925
596,CL,2.3912718
931,CC,3.9533074
1112,CL,3.048698
1211,CL,1.4421875
32,CL,0.9349064
651,CL,1.5182445
1465,CL,2.2142036
1057,CL,1.1815366
603,CL,2.2880676
488,CC,2.6593976
206,CL,3.533009
785,CL,5.510053
1424,CL,2.3420954
1248,CL,3.4286866
12,CL,2.0139449
325,CL,4.062211
110,CC,1.7987729
232,CL,1.5679281
886,CL,3.4436483
650,CL,1.5083894
260,CL,0.9493278
330,CL,2.6855996
851,CC,2.5432174
117,CL,2.8273902
571,CL,2.455578
440,CL,0.74876446
1007,MF,1.765618
340,CC,2.0027173
1343,CL,4.2438564
57,CL,3.0331411
696,CL,2.199193
401,CC,3.6014085
996,CC,2.7687914
972,CL,1.1903371
358,CC,1.4377551
1252,CL,3.7667112
1332,CL,2.0014243
423,CL,0.9733442
697,CL,16.152912
1114,CL,1.3884407
243,CL,5.4813566
164,CL,3.5147984
1225,CL,1.2887477
1073,CL,4.6693044
1207,CL,1.3800219
759,CC,1.7901934
296,CL,1.1426017
435,CL,1.4739745
1082,CL,4.0781584
1569,CL,4.3411016
1546,CC,2.5142252
685,CC,0.8512974
333,CL,2.2911408
1504,CC,1.7073398
987,CL,1.3049659
386,MF,0.80021375
786,CL,2.6368325
1501,CC,2.2908816
1313,MF,1.1504668
168,CL,3.781048
695,CL,1.5984393
1507,CC,0.7589019
1482,CL,1.2260273
1071,CL,3.3025727
726,CC,1.0118792
1319,CL,1.2454745
530,CL,2.5796304
183,CL,1.609014
1349,CL,3.08542
403,CL,1.5283976
818,CL,1.8388845
1509,CL,1.0049489
637,CL,1.2601774
1512,CL,1.3417722
1480,CL,1.3343967
1487,CC,2.3910286
655,CL,2.430931
844,CL,2.0680468
622,CL,1.3688519
274,MF,0.77673835
1420,CL,1.0859724
100,MF,1.4651215
1598,CC,1.0530336
498,CL,8.408386
540,CL,2.516596
5,CL,2.136797
728,CL,2.0458076
299,CL,1.0330607
1210,CL,4.474248
1278,CC,1.8607208
586,CL,1.1128986
535,CL,5.516813
463,CC,1.8970072
1181,MF,1.0709362
1468,CC,1.6865256
128,CC,2.5513723
383,CC,2.3085237
1443,CL,5.343144
1176,CC,1.6796703
255,CL,2.0205543
731,CL,8.934641
1435,CC,1.3633024
532,CC,2.17457
1494,CC,1.5502783
1296,CC,2.433942
286,CL,1.6436837
362,CL,1.6055275
539,CL,0.93617535
1553,CL,1.3115308
715,CL,1.1915618
899,CL,1.1658628
847,CL,1.2551621
798,CL,1.1433188
1421,CC,1.1962441
307,CL,2.5714777
936,CL,1.9952129
77,CL,2.118667
223,CC,1.1124629
871,CL,3.3152611
105,CL,1.2235181
893,CL,1.2099581
356,CC,0.8592905
1491,CL,3.585143
820,CL,0.669336
594,CC,1.6088866
429,CC,0.826387
1358,CL,4.1711946
1049,CC,1.7696172
968,CC,1.4095334
1110,CL,1.8270167
1444,CL,1.4052402
832,CL,2.8416507
1120,CC,1.505848
174,CL,3.8861399
567,MF,0.64523757
314,CL,3.7198825
1441,CC,1.1699816
1604,CC,1.3712907
1089,CL,1.363445
1119,CL,6.3690786
887,CC,0.75496715
559,MF,1.0285411
949,CL,1.8127404
842,CC,1.5166708
1326,CL,1.3607435
1449,CL,2.3078258
1072,CL,1.7783244
641,CL,1.4300307
1069,CC,1.6716648
1336,CC,0.79543155
431,CL,3.129841
406,MF,0.6650125
765,CL,1.7238743
124,CC,0.8588192
456,CL,1.4574658
1026,CC,1.1752974
419,CC,1.0895754
1024,CL,0.8938286
464,CL,0.97972316
409,CL,1.2416172
1466,CC,1.4862494
